FID,CellKey,RID,numPixels,avg_Band1
303,22-29,bio1_37.bil,13843,55537.000000
304,10-10,bio1_37.bil,14163,34701.196639
306,4-16,bio1_37.bil,14151,255.682920
308,24-0,bio1_37.bil,14219,55537.000000
309,6-2,bio1_37.bil,14048,211.612329
310,0-26,bio1_37.bil,14232,154.132167
311,24-13,bio1_37.bil,14177,55537.000000
312,29-0,bio1_37.bil,14030,55537.000000
313,8-6,bio1_37.bil,14190,4188.796124
314,5-23,bio1_37.bil,14048,30135.689493
315,26-16,bio1_37.bil,14146,55537.000000
316,21-27,bio1_37.bil,14052,55537.000000
318,0-22,bio1_37.bil,14232,221.670250
319,27-24,bio1_37.bil,14052,55537.000000
320,27-13,bio1_37.bil,14177,55537.000000
321,15-16,bio1_37.bil,14142,1502.594329
322,12-19,bio1_37.bil,14048,55537.000000
323,7-20,bio1_37.bil,14048,55537.000000
324,28-1,bio1_37.bil,14070,55537.000000
325,2-21,bio1_37.bil,14048,235.698534
326,2-4,bio1_37.bil,14190,232.378999
327,15-5,bio1_37.bil,14190,55537.000000
329,10-2,bio1_37.bil,14048,24467.944761
330,6-4,bio1_37.bil,14190,209.220437
331,0-12,bio1_37.bil,14336,199.219936
332,9-16,bio1_37.bil,14142,20496.899448
333,25-24,bio1_37.bil,14052,55537.000000
334,18-7,bio1_37.bil,14194,55537.000000
335,10-25,bio1_37.bil,14048,55537.000000
336,26-25,bio1_37.bil,14052,55537.000000
337,18-4,bio1_37.bil,14194,55537.000000
338,1-0,bio1_37.bil,14221,208.742564
339,11-22,bio1_37.bil,14048,55537.000000
340,8-29,bio1_37.bil,13836,55537.000000
341,14-3,bio1_37.bil,14155,55537.000000
342,13-1,bio1_37.bil,14066,55537.000000
343,9-3,bio1_37.bil,14155,4964.702225
344,10-15,bio1_37.bil,14173,29818.112750
345,28-4,bio1_37.bil,14194,55537.000000
346,28-13,bio1_37.bil,14177,55537.000000
347,0-25,bio1_37.bil,14232,161.572513
348,15-9,bio1_37.bil,14163,55537.000000
349,27-9,bio1_37.bil,14167,55537.000000
351,20-7,bio1_37.bil,14194,55537.000000
352,17-4,bio1_37.bil,14194,55537.000000
353,18-25,bio1_37.bil,14052,55537.000000
354,9-17,bio1_37.bil,14158,55447.191482
355,12-25,bio1_37.bil,14048,55537.000000
356,21-3,bio1_37.bil,14159,55537.000000
357,1-9,bio1_37.bil,14207,198.883579
358,14-26,bio1_37.bil,14048,55537.000000
359,27-12,bio1_37.bil,14177,55537.000000
360,2-17,bio1_37.bil,14159,198.662476
361,5-20,bio1_37.bil,14048,54903.261674
362,14-17,bio1_37.bil,14158,3009.091538
363,24-29,bio1_37.bil,13843,55537.000000
364,17-21,bio1_37.bil,14052,202.021349
365,11-2,bio1_37.bil,14048,54761.961418
366,10-20,bio1_37.bil,14048,55537.000000
367,6-19,bio1_37.bil,14048,55537.000000
368,18-8,bio1_37.bil,14032,55537.000000
369,12-2,bio1_37.bil,14048,55537.000000
370,24-2,bio1_37.bil,14051,55537.000000
371,0-24,bio1_37.bil,14232,188.259626
372,18-10,bio1_37.bil,14167,55537.000000
373,8-3,bio1_37.bil,14155,236.741152
374,22-10,bio1_37.bil,14167,55537.000000
375,13-4,bio1_37.bil,14190,55537.000000
376,6-12,bio1_37.bil,14180,240.566714
377,20-15,bio1_37.bil,14177,35321.059674
378,21-21,bio1_37.bil,14052,55537.000000
379,27-19,bio1_37.bil,14052,55537.000000
380,15-12,bio1_37.bil,14173,53875.325619
381,1-15,bio1_37.bil,14216,230.889209
382,0-17,bio1_37.bil,14336,183.501744
384,4-5,bio1_37.bil,14190,215.973080
385,28-3,bio1_37.bil,14159,55537.000000
387,16-17,bio1_37.bil,14158,249.262184
388,25-17,bio1_37.bil,14162,55537.000000
389,8-10,bio1_37.bil,14171,251.542940
391,19-11,bio1_37.bil,14167,55349.731630
392,15-20,bio1_37.bil,14048,248.519433
393,5-21,bio1_37.bil,14048,44900.238824
394,24-18,bio1_37.bil,14052,55537.000000
395,12-12,bio1_37.bil,14173,55537.000000
396,21-4,bio1_37.bil,14194,55537.000000
397,1-27,bio1_37.bil,14092,193.462745
398,11-19,bio1_37.bil,14048,55537.000000
399,29-22,bio1_37.bil,13889,55537.000000
400,29-2,bio1_37.bil,13890,55537.000000
401,9-4,bio1_37.bil,14190,31355.729669
402,24-17,bio1_37.bil,14162,55537.000000
403,7-6,bio1_37.bil,14190,241.044820
404,13-3,bio1_37.bil,14155,55537.000000
405,11-12,bio1_37.bil,14173,55537.000000
406,13-20,bio1_37.bil,14048,54265.857916
407,16-10,bio1_37.bil,14163,55537.000000
408,19-15,bio1_37.bil,14177,9236.357269
409,8-26,bio1_37.bil,14048,55537.000000
410,14-15,bio1_37.bil,14173,55537.000000
411,16-24,bio1_37.bil,14048,221.103573
412,28-18,bio1_37.bil,14052,55537.000000
413,0-3,bio1_37.bil,14336,200.276925
414,26-13,bio1_37.bil,14177,55537.000000
415,10-9,bio1_37.bil,14163,55537.000000
416,1-24,bio1_37.bil,14092,218.613114
417,4-23,bio1_37.bil,14048,238.598733
418,14-7,bio1_37.bil,14190,55537.000000
419,20-5,bio1_37.bil,14194,55537.000000
420,2-29,bio1_37.bil,13836,55537.000000
421,18-14,bio1_37.bil,14177,607.433025
422,16-4,bio1_37.bil,14190,55537.000000
423,0-8,bio1_37.bil,14224,241.820233
424,14-8,bio1_37.bil,14029,55537.000000
425,15-24,bio1_37.bil,14048,236.358272
426,0-16,bio1_37.bil,14336,207.627930
427,29-24,bio1_37.bil,13889,55537.000000
428,1-4,bio1_37.bil,14226,226.492479
429,20-8,bio1_37.bil,14032,55537.000000
430,8-25,bio1_37.bil,14048,55537.000000
431,17-5,bio1_37.bil,14194,55537.000000
432,28-5,bio1_37.bil,14194,55537.000000
434,26-20,bio1_37.bil,14052,55537.000000
435,18-0,bio1_37.bil,14219,55537.000000
436,22-4,bio1_37.bil,14194,55537.000000
437,3-2,bio1_37.bil,14048,226.660023
438,20-16,bio1_37.bil,14146,55509.637707
439,19-22,bio1_37.bil,14052,55537.000000
440,22-26,bio1_37.bil,14052,55537.000000
442,25-1,bio1_37.bil,14070,55537.000000
444,20-13,bio1_37.bil,14177,52436.662623
445,11-16,bio1_37.bil,14142,55537.000000
446,4-21,bio1_37.bil,14048,238.839123
449,29-14,bio1_37.bil,14022,55537.000000
450,9-13,bio1_37.bil,14173,252.791928
451,23-14,bio1_37.bil,14177,55537.000000
452,4-8,bio1_37.bil,14040,213.314744
453,12-13,bio1_37.bil,14173,55537.000000
454,18-28,bio1_37.bil,14052,55537.000000
455,2-1,bio1_37.bil,14072,219.587621
456,3-18,bio1_37.bil,14048,222.536874
457,9-0,bio1_37.bil,14219,278.520219
458,14-9,bio1_37.bil,14163,55537.000000
459,9-24,bio1_37.bil,14048,55537.000000
460,27-28,bio1_37.bil,14052,55537.000000
461,2-6,bio1_37.bil,14190,238.957082
462,6-9,bio1_37.bil,14171,235.422130
463,23-1,bio1_37.bil,14070,55537.000000
464,13-16,bio1_37.bil,14142,55537.000000
465,29-10,bio1_37.bil,13995,55537.000000
466,14-12,bio1_37.bil,14173,53562.488746
468,23-26,bio1_37.bil,14052,55537.000000
469,12-1,bio1_37.bil,14066,55525.212996
470,28-24,bio1_37.bil,14052,55537.000000
471,25-19,bio1_37.bil,14052,55537.000000
472,6-20,bio1_37.bil,14048,55537.000000
474,20-9,bio1_37.bil,14167,55513.590457
476,10-0,bio1_37.bil,14219,280.702511
477,25-3,bio1_37.bil,14159,55521.384985
478,4-4,bio1_37.bil,14190,215.141931
479,11-21,bio1_37.bil,14048,55537.000000
480,10-24,bio1_37.bil,14048,55537.000000
481,14-13,bio1_37.bil,14173,55537.000000
482,21-18,bio1_37.bil,14052,55537.000000
483,15-17,bio1_37.bil,14158,248.123888
